State,County,Collection Date,Date Detected,HPAI Strain,Bird Species,WOAH Classification,Sampling Method,Submitting Agency
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/20/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/26/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/26/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/8/2022,1/26/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/15/2022,1/26/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,1/8/2022,1/26/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Virginia,Henrico,1/8/2022,1/26/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,12/30/2021,1/12/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/1/2022,1/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/1/2022,1/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/8/2022,1/26/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
South Carolina,Colleton,1/6/2022,1/26/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/15/2022,2/1/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/15/2022,2/1/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/15/2022,2/1/2022,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/15/2022,2/1/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/15/2022,2/1/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/15/2022,2/1/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/15/2022,2/1/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Virginia,Virginia Beach,1/21/2022,2/1/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,1/22/2022,2/1/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Florida,Palm Beach,1/22/2022,2/1/2022,EA H5,Blue-winged teal,Wild bird,Hunter harvest,NWDP
Maryland,Kent,1/23/2022,2/2/2022,EA H5N1,Lesser scaup,Wild bird,Live bird,USGS/SCWDS
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/9/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Delaware,Kent,1/27/2022,2/9/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/27/2022,2/9/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/27/2022,2/9/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,1/29/2022,2/8/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,1/29/2022,2/8/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/8/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/8/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/8/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/26/2022,2/8/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,1/29/2022,2/8/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Bladen,1/29/2022,2/8/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/26/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/22/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/22/2022,2/8/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/31/2022,2/16/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/27/2022,2/16/2022,EA H5,American black duck,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/31/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/31/2022,2/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
Delaware,Kent,1/28/2022,2/16/2022,EA H5,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Northern pintail,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2/5/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,2/5/2022,2/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
North Carolina,Currituck,2/1/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,2/2/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,2/2/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Grafton,2/2/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Hyde,1/31/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/31/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/31/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/31/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/31/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/28/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
Connecticut,New London,2/2/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Virginia,Virginia Beach,1/29/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Northern shoveler,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Craven,1/29/2022,2/16/2022,EA H5N1,Wood duck,Wild bird,Hunter harvest,NWDP
Georgia,Hart,1/30/2022,2/16/2022,EA H5N1,Gadwall,Wild bird,Hunter harvest,NWDP
Georgia,Hart,1/30/2022,2/16/2022,EA H5N1,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Beaufort,1/29/2022,2/16/2022,EA H5,Wood duck,Wild bird,Hunter harvest,NWDP
North Carolina,Hyde,1/29/2022,2/16/2022,EA H5N1,Green-winged teal,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,American wigeon,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/29/2022,2/16/2022,EA H5,Gadwall,Wild bird,Hunter harvest,NWDP
North Carolina,Pamlico,1/31/2022,2/16/2022,EA H5,Mallard,Wild bird,Hunter harvest,NWDP
North Carolina,Currituck,1/28/2022,2/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,1/28/2022,2/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,1/28/2022,2/16/2022,EA H5,Northern shoveler,Wild bird,Live bird,NWDP
North Carolina,Currituck,1/28/2022,2/16/2022,EA H5N1,Northern shoveler,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
Connecticut,Middlesex,2/3/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5N1,Mallard,Wild bird,Live bird,NWDP
New Hampshire,Rockingham,1/26/2022,2/16/2022,EA H5,Mallard,Wild bird,Live bird,NWDP
North Carolina,Hyde,1/21/2022,2/11/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,USFWS/USGS
Kentucky,Ballard,2/8/2022,2/17/2022,EA H5N1,Snow goose,Wild bird,Morbidity/Mortality,KY DFW/SCWDS
